ApkName,LatestVersionOnGooglePlay
air.com.buffalo_studios.newflashbingo-1.apk, 2.67.0  
air.com.gamesys.luckygemcasino-1.apk, 1.11.00  
air.com.slotgalaxy-1.apk, 1.4.5  
co.vine.android-1.apk,   Varies with device  
com.accuweather.android-1.apk,   Varies with device  
com.adobe.reader-1.apk,   Varies with device  
com.apptornado.word-1.apk, 1.4  
com.bamnetworks.mobile.android.gameday.atbat-1.apk,   Varies with device  
com.bigbluebubble.singingmonsters.full-1.apk, 1.2.8  
com.cardinalblue.piccollage.google-1.apk,   Varies with device  
com.cleanmaster.security-1.apk,   Varies with device  
com.com2us.smon.normal.freefull.google.kr.android.common-1.apk, 1.1.6  
com.crazystudio.emoji.kitkat-1.apk, 1.19  
com.degoo.android.washpet-1.apk, 1.1.3  
com.disney.maleficent_goo-1.apk, 1.1.0  
com.dominospizza-1.apk, 2.1.0  
com.doubleugames.DoubleUCasino-1.apk, 2.3.8  
com.dropbox.android-1.apk,   Varies with device  
com.duolingo-1.apk,   Varies with device  
com.ea.BejeweledBlitz_na-1.apk, 1.5.2  
com.ea.game.pvz2_na-1.apk, 2.3.1  
com.ea.games.simsfreeplay_na-1.apk, 2.10.10  
com.estrongs.android.pop-1.apk,   Varies with device  
com.facebook.katana-1.apk,   Varies with device  
com.freaxator.game100balls-1.apk, 1.3  
com.game.slot-1.apk, 1.5  
com.gameloft.android.ANMP.GloftA8HM-1.apk,   Varies with device  
com.gameloft.android.ANMP.GloftKIHM-1.apk, 1.5.2f  
com.gamestar.perfectpiano-1.apk,   Varies with device  
com.gamevil.mlbpi.ad.google.ww-1.apk, 1.0.2  
com.gamevil.partyslots.global-1.apk, 1.1.1  
com.geekbeach.spacegame-1.apk, 2.0.0  
com.ggpsgames.creativekiller-1.apk, 1.3  
com.gogii.textplus-1.apk,   Varies with device  
com.google.android.apps.docs-1.apk,   Varies with device  
com.google.android.apps.plus-1.apk,   Varies with device  
com.google.android.apps.translate-1.apk,   Varies with device  
com.google.android.talk-1.apk, 2.1.311  
com.google.android.videos-1.apk,   Varies with device  
com.halfbrick.fruitninjafree-1.apk, 1.9.2  
com.herocraft.game.wonderwood-1.apk, 1.0.17  
com.igg.bzbee.slotsdeluxe-1.apk, 1.6.3  
com.igg.clashoflords2-1.apk, 1.0.141  
com.ijinshan.kbatterydoctor_en-1.apk, 4.9.2  
com.imdb.mobile-1.apk,   Varies with device  
com.instagram.android-1.apk,   Varies with device  
com.jb.gokeyboard-1.apk, 2.10  
com.jb.gokeyboard.plugin.emoji-1.apk, 3.2  
com.jsdev.instasize-1.apk, 2.4.1  
com.kiloo.subwaysurf-1.apk, 1.25.0  
com.king.candycrushsaga-1.apk,   Varies with device  
com.king.petrescuesaga-1.apk, 1.21.6  
com.kitkatandroid.keyboard-1.apk, 2.0.5  
com.kiwi.westbound-1.apk,   Varies with device  
com.kongregate.mobile.tinydicedungeon.google-1.apk,   Varies with device  
com.krazymobile.emojismartkeyboard-1.apk, 1.7  
com.mapquest.android.ace-1.apk,   Varies with device  
com.midasplayer.apps.papapearsaga-1.apk,   Varies with device  
com.miniclip.plagueinc-1.apk, 1.8.2.2  
com.mint-1.apk, 3.2.0  
com.mobeam.beepngo-1.apk, 2.1.9  
com.motorbike.driving.simulator-1.apk, 1.3  
com.mtygw.puzzle.offroad-1.apk, 1.5  
com.myfitnesspal.android-1.apk,   Varies with device  
com.myyearbook.m-1.apk, 8.4.2  
com.obamaslots.slots.android-1.apk, 1.102  
com.onefootball.brasil-1.apk, 1.5  
com.opera.browser-1.apk,   Varies with device  
com.pinger.textfree-1.apk,   Varies with device  
com.pinger.textfree.call-1.apk, 2.3.2  
com.pocketgems.android.animalvoyage-1.apk, 1.22.0+g  
com.pof.android-1.apk,   Varies with device  
com.progrestar.bft-1.apk,   Varies with device  
com.purplekiwii.mb-1.apk, 1.0.38  
com.quizup.core-1.apk, 1.3.0  
com.rebelvox.voxer-1.apk, 1.7.0.0018  
com.rogue.smash3-1.apk, 1.12  
com.roidapp.photogrid-1.apk, 4.742  
com.sagego.panda.run-1.apk, 2.0.0  
com.scannerradio-1.apk,   Varies with device  
com.sec.android.easyMover-1.apk, 2.0.140603_05  
com.sega.sonicdash-1.apk, 1.14.0.Go  
