ApkName,LatestVersionOnGooglePlay
air.com.playtika.slotomania-1.apk,   Varies with device  
bn.ereader-1.apk, 3.5.1.5  
com.adobe.air-1.apk, 13.0.0.111  
com.akpublish.Gunspell-1.apk, 1.1.27  
com.antivirus-1.apk,   Varies with device  
com.avast.android.mobilesecurity-1.apk, 3.0.7550  
com.aviary.android.feather-1.apk, 3.3.4  
com.backflipstudios.android.dragonvale-1.apk, 2.3.0  
com.badoo.mobile-1.apk,   Varies with device  
com.bestcoolfungames.antsmasher-1.apk, 6.21  
com.bitstrips.bitstrips-1.apk, 1.4.7  
com.calfordcn.gu-1.apk, 1.85  
com.cervomedia.spw-1.apk, 4.7.4  
com.cleanmaster.mguard-1.apk,   Varies with device  
com.com2us.acefishing.normal.freefull.google.global.android.common-1.apk, 1.1.0  
com.creativemobile.DragRacing-1.apk, 1.6.21  
com.dragonplay.liveholdempro-1.apk,   Varies with device  
com.ea.game.simpsons4_na-1.apk, 4.8.1  
com.evernote-1.apk,   Varies with device  
com.fandango-1.apk, 5.1  
com.feelingtouch.sniperzombie-1.apk, 1.10  
com.fgol.HungrySharkEvolution-1.apk, 2.3.2  
com.fingersoft.hillclimb-1.apk, 1.16.0  
com.funzio.crimecity-1.apk, 5.0.1  
com.g6677.android.cdentist-1.apk, 1.0.14  
com.gameloft.android.ANMP.GloftDMHM-1.apk, 1.8.0u  
com.icestone.Emoji-1.apk, 1.19  
com.igg.clashoflords2-1.apk, 1.0.121  
com.iugome.lilknights-1.apk,   Varies with device  
com.jb.gokeyboard-1.apk, 2.08  
com.jb.gosms-1.apk, 5.45  
com.kiloo.subwaysurf-1.apk, 1.23.1  
com.king.candycrushsaga-1.apk,   Varies with device  
com.king.farmheroessaga-1.apk, 2.6.10  
com.kiragames.unblockmefree-1.apk, 1.4.2.0  
com.mapquest.android.ace-1.apk,   Varies with device  
com.melodis.midomiMusicIdentifier.freemium-1.apk,   Varies with device  
com.miniclip.plagueinc-1.apk, 1.8.2.1  
com.mobilityware.spider-1.apk, 3.0.0  
com.mobogenie.markets-1.apk,   Varies with device  
com.myyearbook.m-1.apk, 8.3.5  
com.naturalmotion.clumsyninja-1.apk,   Varies with device  
com.netflix.mediaclient-1.apk,   Varies with device  
com.outfit7.jigtyfree-1.apk, 2.1  
com.pacificinteractive.HouseOfFun-1.apk,   Varies with device  
com.pinterest-1.apk,   Varies with device  
com.pixelberrystudios.hssandroid-1.apk, 1.3.3  
com.playstudios.myvegas-1.apk, 1.5.8  
com.pocketgems.android.animalvoyage-1.apk, 1.21.0+g  
com.pof.android-1.apk,   Varies with device  
com.quizup.core-1.apk, 1.0.7  
com.randomlogicgames.guesstheemoji-1.apk, 4.0  
com.robinson.slotsoz-1.apk, 1.3  
com.roguerocketgames.m3s-1.apk, 1.0.9  
com.sirma.mobile.bible.android-1.apk,   Varies with device  
com.slacker.radio-1.apk,   Varies with device  
com.stac.empire.main-1.apk, 2.3.17  
com.supercell.clashofclans-1.apk, 6.108.2  
com.teamlava.candy-1.apk, 1.1.3.24g  
com.textmeinc.textme-1.apk,   Varies with device  
com.twitter.android-1.apk,   Varies with device  
com.umonistudio.tile-1.apk, 2.3.1  
com.vg.SchoolBusExtended-1.apk, 1.4  
com.viber.voip-1.apk, 4.3.3.67  
com.wooga.jelly_splash-1.apk,   Varies with device  
com.yahoo.mobile.client.android.mail-1.apk, 3.1.3  
de.lotum.whatsinthefoto.us-1.apk, 3.7.1  
es.socialpoint.DragonCity-1.apk, 2.7.1  
jp.gree.jackpot-1.apk, 1.10.3  
jp.gree.warofnationsbeta-1.apk, 1.7.7  
jp.gungho.padEN-1.apk, 6.4.4  
mindware.mindgames-1.apk, 1.7.0  
mobi.mgeek.TunnyBrowser-1.apk,   Varies with device  
se.maginteractive.rumble.free-1.apk, 1.6.21  
sg.gumi.bravefrontier-1.apk, 1.1.8  
