ApkName,LatestVersionOnGooglePlay
com.oceanred.gladiatorbattlecraft3d-1.apk, 1.1.3  
com.outfit7.talkingangelafree-1.apk,   Varies with device  
com.outfit7.talkinggingerfree-1.apk,   Varies with device  
com.outfit7.talkingtom-1.apk,   Varies with device  
com.pikpok.fkf2.play-1.apk,   Varies with device  
com.pinger.ppa-1.apk, 1.4.1  
com.playfirst.playground.cookingdash-1.apk, 2.23.9  
com.playfirst.playground.dinerdash-1.apk, 3.30.15  
com.smule.magicpiano-1.apk, 1.3.6  
com.stac.empire.main-1.apk, 2.2.25  
com.supersolid.adventuretown-1.apk,   Varies with device  
com.teamlava.restaurantstory-1.apk, 1.5.5.7.8  
com.telenav.app.android.scout_us-1.apk, 1.7.1.7710086  
com.thunderbull_entertainment.ultimateracer-1.apk, 1.9  
com.timekiller.arrowcraft-1.apk, 38.3201  
com.waze-1.apk, 3.7.7.0  
com.zynga.gswf-1.apk, 1.19  
es.socialpoint.DragonCity-1.apk, 2.3.1  
jp.gree.modernwar-1.apk, 3.9.2  
mobi.mgeek.TunnyBrowser-1.apk,   Varies with device  
net.imcjapan.android.casino-1.apk, 1.7.31  
