ApkName,LatestVersionOnGooglePlay
cmccwm.mobilemusic-1.apk,N/A
cn.jingling.motu.photowonder-1.apk, 3.1.9  
cn.kuwo.player-1.apk, 6.3.2.0  
com.Qunar-1.apk, 7.2.6  
com.androidesk-1.apk, 4.0.2  
com.anguanjia.safe-1.apk, 4.8.5  
com.autonavi.minimap-1.apk, 6.5.1  
com.baidu.input-1.apk,N/A
com.baidu.video-1.apk,N/A
com.blovestorm-1.apk, 5.3.10  
com.chaozh.iReaderFree-1.apk, 3.2.0  
com.cleanmaster.mguard_cn-1.apk, 5.7.0  
com.corp21cn.mail189-1.apk, 4.2.3  
com.duomi.android-1.apk,N/A
com.funshion.video.mobile-1.apk,N/A
com.imangi.templerunzh-1.apk,N/A
com.intsig.BizCardReader-1.apk, 5.1.2.20140617  
com.jingdong.app.mall-1.apk, 3.4.6  
com.kingsoft-1.apk, 6.3.2  
com.kunpo.baba91-1.apk,N/A
com.lingdong.client.android-1.apk, 2.23  
com.moxiu.launcher-1.apk,N/A
com.ophone.reader.ui-1.apk,N/A
com.oupeng.mini.android-1.apk, 7.7.2  
com.pdager-1.apk, 3.2.0.131014  
com.qihoo360.launcher-1.apk, 5.5.3  
com.renren.mobile.android-1.apk,N/A
com.sdu.didi.psnger-1.apk, 2.8.3  
com.shuqi.controller-1.apk,N/A
com.sina.weibo-1.apk, 4.4.1  
com.sinovatech.unicom.ui-1.apk, 1.1  
com.snda.wifilocating-1.apk,N/A
com.sogou.map.android.maps-1.apk, 5.1.0  
com.ss.android.article.news-1.apk, 3.5.4  
com.tencent.WBlog-1.apk, 4.4.4  
com.tencent.qqlite-1.apk, 2.1.0  
com.tencent.qqmusic-1.apk, 4.0.0.26  
com.tigerknows-1.apk, 5.8.5.20140530A  
com.ting.mp3.android-1.apk,N/A
com.tudou.android-1.apk, 4.2  
com.wochacha-1.apk, 6.7.5  
com.wuba-1.apk,N/A
com.xunlei.kankan-1.apk,N/A
com.youdao.dict-1.apk, 4.3.1  
com.zdworks.android.zdclock-1.apk, 4.8.498  
im.yixin-1.apk, 2.7.0  
me.papa-1.apk, 4.2.1  
org.cocos2dx.FishingJoy2-1.apk,N/A
org.funship.findsomething.withRK-1.apk,N/A
tv.pps.mobile-1.apk, 3.0.2  
viva.reader-1.apk, 5.1.3  
