ApkName,LatestVersionOnGooglePlay
air.com.befunky.BeFunkyPhotoEditor-1.apk, 5.0.1  
air.com.buffalo_studios.newflashbingo-1.apk, 2.83.0  
air.com.freshplanet.games.WaM-1.apk, 1.23.10  
air.com.goodgamestudios.shadowkings-1.apk, 1.8.27  
air.com.playtika.slotomania-1.apk,   Varies with device  
air.com.sarahnorthway.rebuild2-1.apk,   Varies with device  
cn.jingling.motu.photowonder-1.apk, 3.2.2  
cn.kuwo.player-1.apk, 6.3.2.0  
com.NamcoNetworks.MsPacMan-1.apk, 2.0.1  
com.android.vending-1.apk,N/A
com.asobimo.avabel_gp_b3-1.apk, 3.5.6  
com.autonavi.minimap-1.apk, 6.6.0  
com.backflipstudios.android.dragonvale-1.apk, 2.6.0  
com.baidu.input-1.apk, 5.1.5.5  
com.bandainamcogames.pacfriends-1.apk, 1.0.2  
com.byscout.whitetiles4And-1.apk, 3.1.7  
com.chaozh.iReaderFree-1.apk, 3.4.1  
com.chinamworld.main-1.apk, 3.00  
com.creativemobile.DragRacing-1.apk,   Varies with device  
com.digitalcodeworks.slendermanfree-1.apk, 7.15  
com.ea.BejeweledBlitz_na-1.apk, 1.5.8  
com.fgol.HungrySharkEvolution-1.apk,   Varies with device  
com.fivestargames.slots-1.apk, 1.11  
com.funshion.video.mobile-1.apk,N/A
com.google.android.gms-1.apk,   Varies with device  
com.gwsoft.imusic.controller-1.apk,N/A
com.halfbrick.ageofzombies-1.apk, 1.2.6  
com.handsgo.jiakao.android-1.apk, 5.8  
com.igg.android.im-1.apk, 1.1.10  
com.imangi.templerun2-1.apk, 1.11.2  
com.instagram.android-1.apk,   Varies with device  
com.kiloo.subwaysurf-1.apk, 1.30.0  
com.king.candycrushsaga-1.apk, 1.39.4  
com.king.petrescuesaga-1.apk, 1.29.4  
com.king.pyramidsolitairesaga-1.apk, 1.7.0  
com.leftover.CoinDozer-1.apk,   Varies with device  
com.lenovo.safecenter-1.apk,N/A
com.lima.doodlejump-1.apk,   Varies with device  
com.lingdong.client.android-1.apk,N/A
com.midasplayer.apps.bubblewitchsaga2-1.apk,   Varies with device  
com.moxiu.launcher-1.apk,N/A
com.mtvn.sbmigoogleplay-1.apk, 4.20.00  
com.playtika.wsop.gp-1.apk, 2.6.5  
com.realdrift.sipon-1.apk, 2.4  
com.sds.android.ttpod-1.apk,N/A
com.sdu.didi.psnger-1.apk, 2.8.3  
com.shopkick.app-1.apk, 4.4.5  
com.shoujiduoduo.ringtone-1.apk,N/A
com.sohu.inputmethod.sogou-1.apk, 6.1  
com.taiwanmobile.myVideo-1.apk, 0.9.5.15  
com.tencent.feiji-1.apk,N/A
com.tencent.qqlive-1.apk, 3.6.1.5985  
com.ting.mp3.android-1.apk,N/A
com.tongcheng.android-1.apk, 6.6.0  
com.turner.atskisafari-1.apk, 1.5.2  
com.turner.bestparkintheuniverse-1.apk, 1.2.1  
com.ultimateguitar.tabs-1.apk,   Varies with device  
com.umonistudio.tile-1.apk, 2.9.2  
com.walmart.android-1.apk, 2.1.2  
com.zplay.thsfishing.mm-1.apk,N/A
jp.naver.line.android-1.apk,   Varies with device  
jp.naver.linecamera.android-1.apk, 8.6.3  
