ApkName,LatestVersionOnGooglePlay
air.com.freshplanet.games.SongPopPremium-1.apk, 1.7.15  
com.bubblezapgames.supergnes-1.apk, 1.3.14  
com.disney.ToyStorySmashIt.goo-1.apk, 1.2.0  
com.dotemu.rtype-1.apk,   Varies with device  
com.dsemu.drastic-1.apk, r2.1.5.1a  
com.emulator.fpse-1.apk, 0.11.113  
com.fastemulator.gba-1.apk, 1.5.10  
com.fms.vgba-1.apk, 4.1.17  
com.hemispheregames.osmos-1.apk,   Varies with device  
com.melodis.midomiMusicIdentifier-1.apk,   Varies with device  
com.tequilamobile.warshipslivepremium-1.apk, 1.1.5  
it.navionics.singleAppUsa-1.apk, 2.9.4  
