ApkName,LatestVersionOnGooglePlay
com.android.vending-1.apk,N/A
com.arcsoft.perfect365-1.apk,   Varies with device  
com.bushiroad.bushidora-1.apk, 2.09  
com.fde.avpevolution-1.apk,   Varies with device  
com.genina.android.blackjack.view-1.apk,   Varies with device  
com.glu.flc2-1.apk, 2.0.2  
com.glu.flcn_new-1.apk, 3.0.4  
com.google.android.googlequicksearchbox-1.apk,   Varies with device  
com.google.android.inputmethod.latin-1.apk,   Varies with device  
com.google.android.play.games-1.apk,   Varies with device  
com.google.android.tts-1.apk, 3.1.3.1162895  
com.mapbar.android.mapbarmap-1.apk, 8.1.2.185732  
com.midasplayer.apps.papapearsaga-1.apk,   Varies with device  
