ApkName,LatestVersionOnGooglePlay
air.com.sgn.cookiejam.gp-1.apk, 3.0.108  
co.vine.android-1.apk,   Varies with device  
com.TycoonMania-1.apk, 1.1.13  
com.chase.sig.android-1.apk, 3.19  
com.ciegames.RacingRivals-1.apk, 3.1.0  
com.clearchannel.iheartradio.controller-1.apk,   Varies with device  
com.ea.BejeweledBlitz_na-1.apk, 1.6.3.21  
com.espn.fantasy.lm.football-1.apk, 1.1.6  
com.facebook.katana-1.apk,   Varies with device  
com.facebook.orca-1.apk,   Varies with device  
com.fingerdance.empire-1.apk, 1.1.7  
com.fingersoft.hillclimb-1.apk,   Varies with device  
com.gameloft.android.ANMP.GloftIVHM-1.apk, 1.2.1b  
com.glidetalk.glideapp-1.apk, Glide.v1.06.200  
com.glu.baseball-1.apk, 1.4.2  
com.halfbrick.fruitninjafree-1.apk, 2.1.2  
com.igg.android.im-1.apk, 1.2.3  
com.igg.bravetrials-1.apk, 1.3.0  
com.imangi.templerun-1.apk, 1.6.1  
com.instagram.android-1.apk,   Varies with device  
com.king.candycrushsaga-1.apk, 1.43.0  
com.king.farmheroessaga-1.apk, 2.16.14  
com.king.petrescuesaga-1.apk, 1.32.1  
com.king.pyramidsolitairesaga-1.apk, 1.12.0  
com.kiwi.westbound-1.apk,   Varies with device  
com.leftover.CoinDozer-1.apk,   Varies with device  
com.mobage.ww.a1933.Super_Battle_Tactics_Android-1.apk, 1.0.8  
com.nekki.shadowfight-1.apk, 1.8.2  
com.netflix.mediaclient-1.apk,   Varies with device  
com.nfl.fantasy.core.android-1.apk, 1.3.0  
com.oovoo-1.apk, 2.2.6  
com.pandora.android-1.apk,   Varies with device  
com.picsart.studio-1.apk,   Varies with device  
com.pinterest-1.apk,   Varies with device  
com.playtika.wsop.gp-1.apk, 2.7.0  
com.quelaba.sopaletras-1.apk, 2.1f  
com.randomlogicgames.guesstheemoji-1.apk,   Varies with device  
com.remind101-1.apk,   Varies with device  
com.roidapp.photogrid-1.apk, 4.813  
com.scopely.slotsvacation-1.apk, 1.53.67  
com.sega.sonicdash-1.apk, 1.17.4.Go  
com.selfawaregames.acecasino-1.apk, 5.0.8  
com.sgn.pandapop.gp-1.apk, 2.3.0.2  
com.shazam.android-1.apk,   Varies with device  
com.sirma.mobile.bible.android-1.apk,   Varies with device  
com.snapchat.android-1.apk,   Varies with device  
com.soundcloud.android-1.apk,   Varies with device  
com.spacegame.forestmania-1.apk, 2.6.1  
com.spotify.music-1.apk,   Varies with device  
com.supercell.boombeach-1.apk, 18.173  
com.supercell.clashofclans-1.apk, 6.322.9  
com.supercell.hayday-1.apk,   Varies with device  
com.tamalaki.hogblackstonemysteries-1.apk, 2.88  
com.twitter.android-1.apk,   Varies with device  
com.umonistudio.tile-1.apk, 3.1.1  
com.viber.voip-1.apk, 5.1.1.42  
com.wegoi.revolt2multiplayer-1.apk, 1.2.5  
com.yahoo.mobile.client.android.fantasyfootball-1.apk, 5.1.4  
com.zeptolab.ctr2.f2p.google-1.apk,   Varies with device  
jp.gree.jackpot-1.apk, 1.21.15  
kik.android-1.apk, 7.8.1.141  
laser.pointer.laser.simulator.laserpointersimulator.laser-1.apk, 2.1.0  
me.pou.app-1.apk, 1.4.64  
net.zedge.android-1.apk,   Varies with device  
tunein.player-1.apk,   Varies with device  
