ApkName,LatestVersionOnGooglePlay
com.backflipstudios.android.dragonvale-1.apk, 2.2.4  
com.chaozh.iReaderFree-1.apk, 1.8.0.1  
com.chinamobile.cmccwifi-1.apk,   Varies with device  
com.enflick.android.TextNow-1.apk,   Varies with device  
com.glu.deerhunt2-1.apk, 2.0.1  
com.google.android.inputmethod.pinyin-1.apk,   Varies with device  
com.google.android.play.games-1.apk,   Varies with device  
com.google.android.youtube-1.apk, 5.5.27  
com.kii.safe-1.apk,   Varies with device  
com.king.candycrushsaga-1.apk,   Varies with device  
com.miniclip.eightballpool-1.apk, 2.4.2  
com.sgiggle.production-1.apk,   Varies with device  
com.storm.smart-1.apk, 3.9.22  
com.supercell.clashofclans-1.apk, 6.56.1  
com.tencent.clover-1.apk,N/A
com.tencent.feiji-1.apk,N/A
com.tencent.game.SSGame-1.apk,N/A
com.tencent.lian-1.apk,N/A
com.tencent.nmrq-1.apk,N/A
jp.naver.line.android-1.apk, 4.2.3  
kvp.jjy.MispAndroid320-1.apk, 1.5.31  
