ApkName,LatestVersionOnGooglePlay
ac.lite-1.apk, 1.11  
air.com.zyncstudio.ChickenWingsCooking-1.apk, 1.1.0  
ata.squid.meego-1.apk, 1.32  
bn.ereader-1.apk, 3.5.1.5  
com.BubbleTeam.JewelsCrush-1.apk, 1.03  
com.CarXTech.CarXDriftRacing-1.apk, 1.1  
com.ImaginationUnlimited.instaframe-1.apk, 1.1.9  
com.ScnStudios.MotorBikeRealSimulator3D-1.apk, 1.0  
com.abc.zombie-1.apk,N/A
com.adrenalinecrew.RSF2-1.apk, 1.4  
com.alibaba.adi.collie-1.apk, 1.3.0  
com.amazon.ember.android-1.apk, 2.3.1  
com.ammonite.spacecraftfree-1.apk, 1.1  
com.andrwq.recorder-1.apk, 1.7  
com.animoca.google.starGirlSpring-1.apk,   Varies with device  
com.appninjaz.flyingmileycyrus-1.apk,N/A
com.arcadesreloaded.mikesworld2-1.apk, 1.0.4  
com.babeltime.fknsango_yingyonghui-1.apk,N/A
com.baihe-1.apk, 5.1.0  
com.bluefir.Granny-1.apk,N/A
com.budgestudios.CareBearsCreateShare-1.apk, 1.3  
com.calfordcn.gu-1.apk, 1.85  
com.callapp.contacts-1.apk,N/A
com.chaozh.iReaderFree15-1.apk,N/A
com.cnn.mobile.android.tablet-1.apk,N/A
com.coco.entertainment.immortalracer.wdj-1.apk,N/A
com.contextlogic.wish-1.apk, 3.6.5  
com.dll32.balltravel-1.apk, 1.0  
com.domobile.applock-1.apk, 1.99.2  
com.dworks.candypop_new-1.apk, 1.0.0  
com.dworks.guesswhat_new-1.apk, 1.0.0  
com.dworks.riddles_newgp-1.apk, 1.0.0  
com.emugamesdb.app-1.apk, 1.6  
com.eshore.ezone-1.apk,N/A
com.etermax.preguntados.lite-1.apk, 1.6.2  
com.etsy.android-1.apk, 2.3.1  
com.ezone.Snowboard-1.apk, 3.0.2  
com.fdgentertainment.paperama-1.apk, 1.1.0  
com.feelingtouch.dipan.slggameglobal-1.apk, 1.05  
com.feelingtouch.quizgame-1.apk, 1.04  
com.firerabbit.android.game.customcar.lite-1.apk, 1.0  
com.flyfish.ddz-1.apk, 2.0.1  
com.fourcall-1.apk,N/A
com.g6677.android.dspa-1.apk, 1.0.0  
com.gameforfun.jewels-1.apk, 1.0.1  
com.gamegarden.fk-1.apk, 1.2.7  
com.gamelion.aiw-1.apk, 1.2.1  
com.gameloft.android.ANMP.GloftJDHM-1.apk, 1.1.1  
com.gameloft.android.ANMP.GloftRAHM-1.apk,   Varies with device  
com.gamevil.dynastywarlord.global-1.apk, 1.0.5  
com.ghunting.FishingHunter-1.apk,N/A
com.google.android.keep-1.apk, 2.2.11  
com.google.chromeremotedesktop-1.apk, 35.0.1916.37  
com.gravitysensation.sumotori-1.apk, 1.2.0  
com.greenmango.game.bubbleshooter-1.apk, 1.0.2  
com.groupme.android-1.apk,   Varies with device  
com.handmark.expressweather-1.apk, 2.7  
com.happyelements.AndroidAnimal.wdj-1.apk,N/A
com.healthagen.iTriage-1.apk, 5.27  
com.icestone.Emoji-1.apk, 1.19  
com.ifeng.video-1.apk, 4.1.0  
com.igg.minitoss_en-1.apk, 1.0.10  
com.igg.pokerdeluxe-1.apk, 1.4.3  
com.igs.slotsparadise-1.apk, 1.2.9.1  
com.ijinshan.duba-1.apk, 3.3.1  
com.indeed.android.jobsearch-1.apk,   Varies with device  
com.jb.gokeyboard.plugin.emoji-1.apk, 3.1  
com.jday.blackjack-1.apk,N/A
com.jday.pdk-1.apk, 1.21  
com.joym.xiongdakuaipao-1.apk, 1.0.4  
com.jsdev.instasize-1.apk, 2.3.1  
com.julian.motorboat-1.apk, 1.1  
com.junerking.number-1.apk, 1.1  
com.kongregate.mobile.tinydicedungeon.google-1.apk,   Varies with device  
com.kuyue.shenhai-1.apk,N/A
com.lego.technic.race-1.apk, 1.0.0  
com.libiitech.princesssalon2-1.apk, 1.0  
com.lokinfo.android.gamemarket.mmshow-1.apk, 3.1.1  
com.lookout.heartbleeddetector-1.apk, 1.0  
com.lotwork.unofficialwikiforminecraft2014-1.apk, 1.0  
com.lt.kjzspay-1.apk,N/A
com.magmamobile.game.Words-1.apk, 1.0.11  
com.mapquest.android.ace-1.apk,   Varies with device  
com.mas.wawagame.Kuwajjlord-1.apk,N/A
com.mobilityware.freecell-1.apk, 2.1.2  
com.mobilityware.spider-1.apk, 3.0.0  
com.move.realtor-1.apk,   Varies with device  
com.nickdubber.carcraft-1.apk, 1.0  
com.nimblebit.discozoo-1.apk, 1.1.1  
com.noapostroph3s.getfollowers.instagram-1.apk, 1.9.2  
com.onehundredpics.onehundredpicsquiz-1.apk, 1.0.6  
com.outlook.Z7-1.apk, 7.8.2.12.49.5701  
com.pinger.textfree.call-1.apk, 2.3  
com.playtika.caesarscasino-1.apk,   Varies with device  
com.ppgames.songguess-1.apk, 1.1.2  
com.progrestar.bft-1.apk,   Varies with device  
com.purplekiwii.mb-1.apk, 1.0.30  
com.qihoo360.mobilesafe.strongbox-1.apk,N/A
com.quelaba.sopaletras-1.apk, 2.0t  
com.quickoffice.android-1.apk,   Varies with device  
com.rebeltwins.daddywasathief-1.apk, 2.0.6  
com.robtopx.geometryjumplite-1.apk, 1.61  
com.rogue.smash3-1.apk, 1.03  
com.sankuai.movie-1.apk, 4.0  
com.scoompa.collagemaker-1.apk,   Varies with device  
com.sec.android.easyMover-1.apk, 2.0.140429_05  
com.sg.android.fish.google-1.apk, 2.30  
com.sixtostart.zombiesrun-1.apk, 3.1.0  
com.skyboard.google.littlefarmspring-1.apk, 1.5.0  
com.smule.autorap-1.apk, 2.0.3  
com.softwego.liedetector-1.apk, 3.4  
com.supersolid.pororo-1.apk,   Varies with device  
com.swiftapps.goat.rampage.free-1.apk, 1.3  
com.sxiaoao.car3d3-1.apk,N/A
com.symstudiogames.carparkinggame-1.apk, 1.00.009  
com.tabtale.fairyspasaloon-1.apk, 1.0.0  
com.teamlava.candy-1.apk, 1.1.3.27g  
com.teamlava.restaurantstory35-1.apk,N/A
com.tencent.castleclash-1.apk,N/A
com.tencent.game.VXDGame-1.apk, 1.1.62.1  
com.tencent.qqlite-1.apk, 2.0.0  
com.tencent.weishi-1.apk, 2.3.0  
com.theonegames.gunshipbattle-1.apk, 1.0.6  
com.timehop-1.apk, 1.2.35  
com.timuzsolutions.runrun3d-1.apk, 3.9  
com.tinder-1.apk,   Varies with device  
com.ting.mp3.android-1.apk,N/A
com.tipytapy.plastic.surgery-1.apk, 1.0.0  
com.tower3d-1.apk, 1.1.5  
com.tp.android.legspa2-1.apk, 1.0.0  
com.tujia.hotel-1.apk, 3.1  
com.turner.amateursurgeon3-1.apk,   Varies with device  
com.turner.mixels-1.apk,   Varies with device  
com.urbandroid.sleep.full.key-1.apk,   Varies with device  
com.vectorunit.redcmgeplaycn-1.apk,N/A
com.venticake.retrica-1.apk, 2.0.3  
com.vg.APlane-1.apk, 2.1  
com.vg.MonsterDashHillRacer-1.apk, 1.6  
com.vg.PoliceParkingExtended-1.apk, 1.0  
com.wasabimobile.candysmasher-1.apk, 1.0  
com.wengu-1.apk,N/A
com.xiaoenai.app-1.apk, 3.1.9  
com.yinhan.hunter.gedou-1.apk,N/A
com.yinhan.hunter.qihoo-1.apk,N/A
com.youyuan.yyhl-1.apk,N/A
com.zenlife-1.apk, 1.3.4  
com.zentertain.photoeditor-1.apk, 1.9  
com.zeptolab.timetravel.free.google-1.apk,   Varies with device  
com.zqgame.SG.en.androidgp-1.apk, 1.1.5  
com.zynga.riches-1.apk, 8.0.101  
cz.aponia.bor3-1.apk, 3.9.28217  
ecard.android.cp.ui-1.apk,N/A
fm.jihua.kecheng-1.apk, 4.4  
jp.colopl.enslingshot-1.apk, 1.0.20  
jp.colopl.nyankous-1.apk, 1.0.3  
kr.core.technology.wifi.hotspot-1.apk, 1.3.2  
lv.games.freecraft-1.apk, 1.04  
me.scan.android.client-1.apk, 2.2  
mikado.bizcalpro-1.apk, 1.4.6.1  
mp3player.mp3cutter.ringtonemaker-1.apk,N/A
net.SandStormEarl.MC-1.apk, 1.4.5  
net.clc.bt-1.apk, 1.0  
net.mobigame.zombietsunami-1.apk,   Varies with device  
org.candylegend-1.apk, 1.3  
org.deadbeef.android.freeplugins-1.apk, 1.8  
org.funship.findsomething.QQ-1.apk,N/A
org.madgame.ccb-1.apk, 1.2.6  
pri.enegonapps.juegosdecocinar_001-1.apk, 1.2  
sh.lilith.dgame.wdj-1.apk,N/A
sina.mobile.tianqitong-1.apk, 3.25  
trev.android.mupen64plusae-1.apk,N/A
uk.mavusmariiavus.robinosnscraftdemo-1.apk, 1.0.1  
wp.wattpad-1.apk,   Varies with device  
