ApkName,LatestVersionOnGooglePlay
com.bigkraken.thelastwar-1.apk, 1.0.4  
com.cmge.gplay.rod-1.apk, 1.2.39662  
com.dirtybit.funrun2-1.apk, 2.3.1  
com.ea.game.pvz2_na-1.apk, 3.8.1  
com.netflix.mediaclient-1.apk,   Varies with device  
com.pixelbite.rr3-1.apk, 1.1.6  
com.tencent.qqpim-1.apk, 6.0.6  
com.tp.android.plasticsurgery-1.apk, 1.0.7  
com.vitotechnology.StarWalk-1.apk, 1.0.10.21  
com.zentertain.bigcasino-1.apk, 1.3.6  
com.zynga.wwf2.free-1.apk,   Varies with device  
net.flixster.android-1.apk,   Varies with device  
us.kick9.k3000000013.c3101000001-1.apk, 2.3.5  
