ApkName,LatestVersionOnGooglePlay
com.ea.BejeweledBlitz_na-1.apk,1.3.3
com.ea.game.monopolyfree_android_inc-1.apk,2.1.0
com.hapogames.SlotsGo-1.apk,1.2
com.magnifis.parking-1.apk,2.17
com.mapmyrun.android2-1.apk,2.7.4
com.nimblebit.nimblequest-1.apk,1.0.3
com.outfit7.gingersbirthdayfree-1.apk,Varies with device
com.photos.instacollage-1.apk,1.0.3
com.redhotlabs.bingo-1.apk,1.6.1
com.speaktoit.assistant-1.apk,1.3.1
com.talkray.client-1.apk,1.23
com.teamlava.farmstory23-1.apk,1.9.5.2
com.wordsmobile.baseball-1.apk,1.1
jp.gungho.padEN-1.apk,5.03
