ApkName,LatestVersionOnGooglePlay
air.SchoolPublic-1.apk, 1.060  
air.com.fgl.happyplanetgames.cubecrash2deluxefree-1.apk, 1.0.80  
air.com.playtika.slotomania-1.apk,
air.com.sgn.bookoflife.gp-1.apk, 2.91.117.506251154  
air.com.sgn.cookiejam.gp-1.apk,
air.com.tutotoons.app.animalhairsalon-1.apk, 1.1.0  
air.com.tutotoons.app.babyhouse-1.apk, 2.2.3  
air.com.tutotoons.app.sweetbabygirlbeautysalon-1.apk, 1.2.1  
air.mwe.cookingcuteheartcupcakes-1.apk, 3.2.5  
at.ner.lepsWorld2-1.apk, 1.9.2.0  
audio.mp3.music.player-1.apk, 2.2.1  
co.vine.android-1.apk,   Varies with device  
com.BitofGame.MiniGolfRetro-1.apk, 1.1  
com.FakeCall2-1.apk, 0.0.27  
com.HBO-1.apk, 3.0.1  
com.PrankRiot-1.apk,   Varies with device  
com.aa.generaladaptiveapps-1.apk, 1.2.7  
com.abtnprojects.ambatana-1.apk, 1.2.6  
com.accuweather.android-1.apk,   Varies with device  
com.acmeaom.android.myradar-1.apk,   Varies with device  
com.adobe.air-1.apk,
com.adobe.reader-1.apk,   Varies with device  
com.aim.racing-1.apk,
com.airbnb.android-1.apk,   Varies with device  
com.amazon.kindle-1.apk,   Varies with device  
com.amazon.mp3-1.apk, 4.4.6  
com.amazon.windowshop-1.apk, 5.51.3810  
com.and.games505.Terraria-1.apk, 1.2.8798  
com.andrwq.recorder-1.apk, 1.7.1  
com.antivirus-1.apk,   Varies with device  
com.apalon.myclockfree-1.apk,   Varies with device  
com.apusapps.launcher-1.apk, 1.8.9  
com.arizpe.bulgarians.chamonix-1.apk, 1.0  
com.att.mobiletransfer-1.apk, 3.0.43  
com.audible.application-1.apk,   Varies with device  
com.avast.android.mobilesecurity-1.apk,   Varies with device  
com.aws.android-1.apk,   Varies with device  
com.badoo.mobile-1.apk,   Varies with device  
com.baiwang.instablend-1.apk, 2.21  
com.bandagames.mpuzzle.gp-1.apk,   Varies with device  
com.bandainamcogames.en.driftspirits-1.apk, 1.8.1  
com.baviux.voicechanger-1.apk, 3.1.10  
com.beatsmusic.android.client-1.apk, 1.2.6  
com.bfs.papertoss-1.apk,   Varies with device  
com.bigbluebubble.singingmonsters.full-1.apk, 1.3.4  
com.bigkraken.thelastwar-1.apk, 1.0.2  
com.bingocrushgame.bingo-1.apk, 1.0.1  
com.bingocrushgame.bingovegas-1.apk, 1.0.0  
com.bitstrips.imoji-1.apk, 1.12.483  
com.blizzard.wtcg.hearthstone-1.apk,
com.boombit.RunningCircles-1.apk, 1.0.8  
com.boombit.Spider-1.apk, 1.0.9  
com.brighthouse.whitetiles4And-1.apk, 4.55.1  
com.budgestudios.BarbieMagicalFashion-1.apk, 2.1  
com.calfordcn.gu-1.apk, 1.97  
com.camerasideas.instashot-1.apk, 1.273  
com.cardinalblue.piccollage.google-1.apk,   Varies with device  
com.chase.sig.android-1.apk, 3.22  
com.cheerfulinc.flipagram-1.apk,
com.ciegames.RacingRivals-1.apk, 4.0.1  
com.cleanmaster.mguard-1.apk,   Varies with device  
com.clearchannel.iheartradio.controller-1.apk,   Varies with device  
com.cnn.mobile.android.phone-1.apk, 2.7.2  
com.cocoplay.cocosummer-1.apk, 0.2.5  
com.com2us.smon.normal.freefull.google.kr.android.common-1.apk, 1.6.2  
com.contextlogic.cute-1.apk, 1.0.0  
com.contextlogic.geek-1.apk, 1.2.0  
com.contextlogic.wish-1.apk, 3.12.1  
com.craftgames.worldcrft-1.apk, 2.0.4  
com.creativemobile.DragRacing-1.apk,   Varies with device  
com.cyberlink.youcammakeup-1.apk, 4.4.1  
com.d3p.mpq-1.apk, 78.288172  
com.ddi-1.apk, 3.0.29  
com.degoo.android.pregnantdoctor-1.apk, 1.0.4  
com.devuni.flashlight-1.apk, 5.2.4  
com.dianxinos.dxbs-1.apk,
com.digidust.elokence.akinator.freemium-1.apk, 3.41  
com.digitalchemy.calculator.freedecimal-1.apk,
