52,$0.99,Papa's Freezeria To Go!,November 21 2014,Everyone,100000 - 500000,2.2 and up,N/A,Strategy,Flipline Studios,https://play.google.com/store/apps/details?id=air.com.flipline.papasfreezeriatogo,air.com.flipline.papasfreezeriatogo
51,$2.99,Farming Simulator 14,April 27 2015,Varies with device,Varies with device,100000 - 500000,Everyone,Simulation,GIANTS Software,https://play.google.com/store/apps/details?id=com.giantssoftware.fs14,com.giantssoftware.fs14
3,$0.99,Terraria.,April 9 2015,1.2.7899,87M,500000 - 1000000,Medium Maturity,Adventure,505 Games Srl,https://play.google.com/store/apps/details?id=com.and.games505.TerrariaPaid,com.and.games505.TerrariaPaid
7,$1.99,Geometry Dash,February 5 2015,1.93,47M,500000 - 1000000,Everyone,Arcade,RobTop Games,https://play.google.com/store/apps/details?id=com.robtopx.geometryjump,com.robtopx.geometryjump
43,$4.14,Icewind Dale: Enhanced Edition,March 4 2015,Medium Maturity,10000 - 50000,3.0 and up,N/A,Role Playing,Beamdog,https://play.google.com/store/apps/details?id=com.beamdog.icewinddale,com.beamdog.icewinddale
23,$2.99,Attack the Light,April 14 2015,1.0.2,173M,50000 - 100000,Low Maturity,Role Playing,Cartoon Network,https://play.google.com/store/apps/details?id=com.turner.stevenrpg,com.turner.stevenrpg
38,$0.45,Angry Birds Star Wars HD,August 25 2014,1.5.3,49M,100000 - 500000,Everyone,Arcade,Rovio Entertainment Ltd.,https://play.google.com/store/apps/details?id=com.rovio.angrybirdsstarwarshd.premium.iap,com.rovio.angrybirdsstarwarshd.premium.iap
42,$7.99,WWE 2K,April 16 2015,1.0.8041,627M,10000 - 50000,Medium Maturity,Sports,2K Games Inc.,https://play.google.com/store/apps/details?id=com.t2ksports.wwe2k15mobile,com.t2ksports.wwe2k15mobile
55,$0.99,Vector Full,September 8 2014,Varies with device,Varies with device,100000 - 500000,Everyone,Arcade,NEKKI,https://play.google.com/store/apps/details?id=com.nekki.vector.paid,com.nekki.vector.paid
12,$0.99,Scribblenauts Remix,April 29 2015,6.0,192M,500000 - 1000000,Everyone,Puzzle,Warner Bros. International Enterprises,https://play.google.com/store/apps/details?id=com.wb.goog.scribbleremix,com.wb.goog.scribbleremix
13,$0.99,THE GAME OF LIFE,January 13 2014,1.2.10.91010559,12M,500000 - 1000000,Everyone,Board,Electronic Arts Inc,https://play.google.com/store/apps/details?id=com.eamobile.life_na_wf,com.eamobile.life_na_wf
46,$6.99,LEGO® Star Wars™:  TCS,May 12 2015,Low Maturity,5000 - 10000,4.0 and up,N/A,Action,Warner Bros. International Enterprises,https://play.google.com/store/apps/details?id=com.wb.lego.tcs,com.wb.lego.tcs
4,$4.99,LIMBO,April 24 2015,1.8,129M,100000 - 500000,Medium Maturity,Adventure,Playdead,https://play.google.com/store/apps/details?id=com.playdead.limbo.full,com.playdead.limbo.full
2,$0.99,Monument Valley,May 7 2015,2.2.42,238M,500000 - 1000000,Everyone,Puzzle,ustwo,https://play.google.com/store/apps/details?id=com.ustwo.monumentvalley,com.ustwo.monumentvalley
5,$2.99,Bloons TD 5,April 14 2015,2.15.2,96M,1000000 - 5000000,Everyone,Strategy,ninja kiwi,https://play.google.com/store/apps/details?id=com.ninjakiwi.bloonstd5,com.ninjakiwi.bloonstd5
25,$3.99,SpongeBob Moves In,April 8 2015,4.28.00,213M,100000 - 500000,Everyone,Simulation,Nickelodeon,https://play.google.com/store/apps/details?id=com.mtvn.sbmigoogleplay,com.mtvn.sbmigoogleplay
22,$4.99,Worms 3,March 31 2015,2.04,171M,500000 - 1000000,Medium Maturity,Arcade,Team 17 Digital Limited,https://play.google.com/store/apps/details?id=com.worms3.app,com.worms3.app
8,$0.99,The Firm,May 4 2015,1.1.1,42M,10000 - 50000,Everyone,Arcade,Sunnyside Games,https://play.google.com/store/apps/details?id=ch.sunnysidegames.thefirm,ch.sunnysidegames.thefirm
28,$3.99,Card Wars - Adventure Time,April 21 2015,1.4.0,181M,500000 - 1000000,Everyone,Card,Cartoon Network,https://play.google.com/store/apps/details?id=com.turner.cardwars,com.turner.cardwars
59,$0.99,Stray Cat Simulator,April 19 2015,1.0.4,47M,10000 - 50000,Low Maturity,Simulation,Gluten Free Games,https://play.google.com/store/apps/details?id=com.glutenfreegames.catsimulator,com.glutenfreegames.catsimulator
33,$4.99,Grand Theft Auto: Vice City,March 26 2015,1.07,1.4G,500000 - 1000000,High Maturity,Arcade,Rockstar Games Inc.,https://play.google.com/store/apps/details?id=com.rockstargames.gtavc,com.rockstargames.gtavc
56,$0.99,Fruit Ninja,May 2 2015,2.2.7,91M,1000000 - 5000000,Everyone,Arcade,Halfbrick Studios,https://play.google.com/store/apps/details?id=com.halfbrick.fruitninja,com.halfbrick.fruitninja
48,$2.99,Kingdom Rush Origins,April 22 2015,1.3.0,213M,100000 - 500000,Low Maturity,Strategy,Ironhide Game Studio,https://play.google.com/store/apps/details?id=com.ironhidegames.android.kingdomrushorigins,com.ironhidegames.android.kingdomrushorigins
27,$0.99,HOOK,February 24 2015,1.04,28M,100000 - 500000,Everyone,Puzzle,Rainbow Train,https://play.google.com/store/apps/details?id=com.rt.hook,com.rt.hook
50,$1.99,Threes!,December 17 2014,Everyone,100000 - 500000,4.0 and up,N/A,Puzzle,Sirvo llc,https://play.google.com/store/apps/details?id=vo.threes.exclaim,vo.threes.exclaim
49,$0.99,Pocket God™,December 10 2013,1.4.1,18M,100000 - 500000,Low Maturity,Arcade,Bolt Creative Inc,https://play.google.com/store/apps/details?id=com.ngmoco.pocketgod,com.ngmoco.pocketgod
47,$0.99,Plants vs. Zombies™,January 13 2014,Everyone,1000000 - 5000000,2.3.3 and up,Electronic Arts Inc,Casual,Electronic Arts Inc,https://play.google.com/store/apps/details?id=com.popcap.pvz_na,com.popcap.pvz_na
29,$1.99,MONOPOLY,January 13 2014,Everyone,500000 - 1000000,2.3.3 and up,N/A,Casual,Electronic Arts Inc,https://play.google.com/store/apps/details?id=com.eamobile.monopoly_na_wf,com.eamobile.monopoly_na_wf
45,$0.99,Tamagotchi Classic - Gen1,April 23 2015,1.0.0,14M,1000 - 5000,Everyone,Casual,BANDAI NAMCO Entertainment Inc.,https://play.google.com/store/apps/details?id=com.bandainamcoent.tamagothiclassicus,com.bandainamcoent.tamagothiclassicus
32,$3.99,Prison Life RPG,May 12 2015,1.3.4,64M,10000 - 50000,Low Maturity,Role Playing,NobStudio,https://play.google.com/store/apps/details?id=com.nobstudio.chengshuwan.prisonLifeRPG,com.nobstudio.chengshuwan.prisonLifeRPG
21,$4.99,Goat Simulator GoatZ,May 6 2015,1.0.3,304M,1000 - 5000,Low Maturity,Action,Coffee Stain Studios,https://play.google.com/store/apps/details?id=com.coffeestainstudios.goatsimulator.goatz,com.coffeestainstudios.goatsimulator.goatz
19,$1.99,True Skate,April 27 2015,1.3.16,23M,500000 - 1000000,Everyone,Sports,True Axis,https://play.google.com/store/apps/details?id=com.trueaxis.trueskate,com.trueaxis.trueskate
9,$9.99,Star Wars™: KOTOR,April 29 2015,1.0.4,2.4G,100000 - 500000,Medium Maturity,Role Playing,Aspyr Media Inc.,https://play.google.com/store/apps/details?id=com.aspyr.swkotor,com.aspyr.swkotor
53,$0.99,Age of Zombies,March 11 2015,1.2.81,43M,100000 - 500000,Low Maturity,Adventure,Halfbrick Studios,https://play.google.com/store/apps/details?id=com.halfbrick.ageofzombies,com.halfbrick.ageofzombies
41,$0.99,Stealing the Diamond,March 7 2014,1.0,17M,50000 - 100000,Low Maturity,Casual,PuffballsUnited,https://play.google.com/store/apps/details?id=air.com.puffballsunited.stealingthediamond,air.com.puffballsunited.stealingthediamond
90,$0.99,Beatdown!,April 28 2015,1.3,31M,1000 - 5000,Medium Maturity,Arcade,Noodlecake Studios Inc,https://play.google.com/store/apps/details?id=com.noodlecake.beatdown,com.noodlecake.beatdown
64,$4.99,The Ramen Sensei,May 1 2015,1.0.9,10M,1000 - 5000,Everyone,Simulation,Kairosoft Co.Ltd,https://play.google.com/store/apps/details?id=net.kairosoft.android.noodle_en,net.kairosoft.android.noodle_en
108,$0.99,Predators™,December 19 2013,1.5.1,83M,100000 - 500000,Medium Maturity,Arcade,Fox Digital Entertainment Inc,https://play.google.com/store/apps/details?id=com.fde.predators,com.fde.predators
83,$2.99,Kitty Powers' Matchmaker,May 1 2015,Medium Maturity,1000 - 5000,2.3.3 and up,N/A,Strategy,Magic Notion Ltd.,https://play.google.com/store/apps/details?id=com.magicnotion.kpmatchmaker,com.magicnotion.kpmatchmaker
80,$1.99,Kingdom Rush Frontiers,March 17 2015,1.3.7,187M,100000 - 500000,Low Maturity,Strategy,Ironhide Game Studio,https://play.google.com/store/apps/details?id=com.ironhidegames.android.kingdomrushfrontiers,com.ironhidegames.android.kingdomrushfrontiers
103,$0.99,Papa's Burgeria To Go!,November 21 2014,Everyone,50000 - 100000,2.2 and up,N/A,Strategy,Flipline Studios,https://play.google.com/store/apps/details?id=air.com.flipline.papasburgeriatogo,air.com.flipline.papasburgeriatogo
77,$4.98,Let's Create! Pottery,November 28 2014,1.59,43M,100000 - 500000,Everyone,Casual,Infinite Dreams,https://play.google.com/store/apps/details?id=pl.idreams.pottery,pl.idreams.pottery
79,$0.99,Stray Dog Simulator,February 8 2015,1.4,47M,10000 - 50000,Everyone,Simulation,Gluten Free Games,https://play.google.com/store/apps/details?id=com.glutenfreegames.dogsimulator,com.glutenfreegames.dogsimulator
98,$0.99,Real Steel,March 4 2015,1.22.7,35M,100000 - 500000,Medium Maturity,Action,Reliance Big Entertainment (UK) Private Limited,https://play.google.com/store/apps/details?id=com.jumpgames.RealSteel,com.jumpgames.RealSteel
96,$0.99,Block City Wars,April 24 2015,3.5.4,72M,50000 - 100000,Medium Maturity,Simulation,DGames,https://play.google.com/store/apps/details?id=block.city.game,block.city.game
73,$6.99,The Amazing Spider-Man 2,November 10 2014,Varies with device,Varies with device,100000 - 500000,Medium Maturity,Action,Gameloft,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftASHM,com.gameloft.android.ANMP.GloftASHM
107,$3.99,My OldBoy! - GBC Emulator,May 20 2014,1.1.0,367k,10000 - 50000,Everyone,Arcade,Fast Emulator,https://play.google.com/store/apps/details?id=com.fastemulator.gbc,com.fastemulator.gbc
117,$0.99,Zombieville USA,August 16 2013,1.0.4,12M,100000 - 500000,Medium Maturity,Arcade,Mika Mobile,https://play.google.com/store/apps/details?id=com.MikaMobile.Zombieville,com.MikaMobile.Zombieville
