ApkName,LatestVersionOnGooglePlay
com.StudioOnMars.CSPortable-1.apk,2.631
com.alphonso.pulse-1.apk,3.0.5
com.android.vending-1.apk,N/A
com.ea.games.simsfreeplay_na-1.apk,1.8.6
com.eamobile.themepark_na-1.apk,Varies with device
com.facebook.katana-1.apk,Varies with device
com.fivemobile.thescore-1.apk,1.6.9
com.google.android.gms-1.apk,2.0.12
com.kiwi.monsterpark-1.apk,1.6.3
com.kiwi.wabeta-1.apk,1.8.4
com.larvalabs.photowall-1.apk,1.4
com.lonedwarfgames.tanks.android-1.apk,2.14.2
com.mobage.ww.a467.TapSlashNinja_Sandbox-1.apk,1.9.0.2.4
com.pandora.android-1.apk,Varies with device
com.rdio.android.ui-1.apk,2.4.4
com.rhythmnewmedia.tvdotcom-1.apk,1.9
com.shazam.android-1.apk,Varies with device
com.steenriver.littlecrane-1.apk,1.12
com.trulia.android-1.apk,Varies with device
com.twitter.android-1.apk,3.6.0
com.vevo-1.apk,1.15
com.webascender.callerid-1.apk,4.1.0
