ApkName,LatestVersionOnGooglePlay
air.com.A5thplanetgames.pets-1.apk, 1.2.30  
air.com.fgl.charstudio.christmassweeper2-1.apk, 1.0.30  
air.com.officemax.magicmirror.ElfYourSelf-1.apk, 1.3.98  
air.com.playtika.slotomania-1.apk,   Varies with device  
air.com.vudu.air.DownloaderTablet-1.apk, 1.5.011  
air.hamsterballs-1.apk, 0.11.02  
com.TWCableTV-1.apk, 3.6.6.6  
com.activision.callofduty.heroes-1.apk, 1.1.1  
com.adobe.air-1.apk,   Varies with device  
com.adobe.reader-1.apk,   Varies with device  
com.aitype.android-1.apk,   Varies with device  
com.amazon.kindle-1.apk,   Varies with device  
com.amazon.windowshop-1.apk, 5.51.2510  
com.antivirus-1.apk,   Varies with device  
com.antutu.ABenchMark-1.apk, 5.3  
com.audible.application-1.apk,   Varies with device  
com.badoo.mobile-1.apk, 2.54.10  
com.biggu.shopsavvy-1.apk,   Varies with device  
com.bittorrent.client-1.apk,   Varies with device  
com.bleacherreport.android.teamstream-1.apk,   Varies with device  
com.candyrufusgames.survivalcrafttrial-1.apk, 1.26.7.0  
com.cardinalblue.piccollage.google-1.apk,   Varies with device  
com.cleanmaster.bigbang-1.apk, 1.2.8  
com.cleanmaster.security-1.apk,   Varies with device  
com.clearchannel.iheartradio.controller-1.apk,   Varies with device  
com.com2us.acefishing.normal.freefull.google.global.android.common-1.apk, 1.3.4  
com.craftgames.worldcrft-1.apk, 2.0.1  
com.dcrown.runes-1.apk, 1.5  
com.degoo.android.icecreammaker-1.apk, 1.0.14  
com.degoo.android.washpet-1.apk, 1.1.16  
com.delta.mobile.android-1.apk, 3.0.1  
com.devuni.flashlight-1.apk, 5.2.2  
com.dianxinos.dxbs-1.apk,   Varies with device  
com.dirtybit.funrun2-1.apk, 1.0.3  
com.disney.frozensaga_goo-1.apk, 2.2.1  
com.droidhang.ph-1.apk, 1.0.8  
com.duolingo-1.apk,   Varies with device  
com.ea.games.r3_na-1.apk, 3.0.1  
com.ea.games.simsfreeplay_na-1.apk, 5.10.0  
com.eapp.egyptianslots-1.apk, 1.21  
com.estrongs.android.pop-1.apk,   Varies with device  
com.etermax.preguntados.lite-1.apk, 1.9.3  
com.etsy.android-1.apk,   Varies with device  
com.evernote-1.apk,   Varies with device  
com.expedia.bookings-1.apk,   Varies with device  
com.facebook.orca-1.apk,   Varies with device  
com.fivemobile.thescore-1.apk,   Varies with device  
com.forshared-1.apk, 2.5.13  
com.frostwire.android-1.apk,   Varies with device  
com.fruityfun.volcanoisland-1.apk,   Varies with device  
com.gameloft.android.ANMP.GloftDMHM-1.apk,   Varies with device  
com.gameloft.android.ANMP.GloftPAHM-1.apk, 1.0.0m  
com.gamestop.powerup-1.apk,   Varies with device  
com.gamevil.darknessreborn2.android.google.global.normal-1.apk, 1.0.9  
com.gamevil.elunesaga.android.google.global.normal-1.apk, 1.0.8  
com.geico.mobile-1.apk, 3.4.0  
com.glidetalk.glideapp-1.apk, Glide.v1.06.213  
com.google.android.apps.books-1.apk,   Varies with device  
com.google.android.apps.chromecast.app-1.apk, 1.9.6  
com.google.android.apps.cloudprint-1.apk, 0.9.10  
com.google.android.apps.santatracker-1.apk, 2.1.2  
com.google.android.apps.walletnfcrel-1.apk,   Varies with device  
com.google.android.gm-1.apk,   Varies with device  
com.google.android.videos-1.apk,   Varies with device  
com.groupme.android-1.apk,   Varies with device  
com.hcg.cok.gp-1.apk, 1.0.70  
com.herman.ringtone-1.apk,   Varies with device  
com.hibernum.brucelee.enterthegame-1.apk,   Varies with device  
com.ibotta.android-1.apk, 3.1.2  
com.igg.bzbee.deckheroes-1.apk, 2.3.5  
com.ijinshan.kbatterydoctor_en-1.apk, 4.16.1  
com.imangi.templerun2-1.apk, 1.12.1  
com.imdb.mobile-1.apk,   Varies with device  
com.infonow.bofa-1.apk, 6.1.0  
com.jb.gokeyboard-1.apk,   Varies with device  
com.jetblacksoftware.xmastreewallpaperfree-1.apk, 3.03F  
com.joelapenna.foursquared-1.apk, 2014.12.12  
com.jsdev.instasize-1.apk, 2.5.5  
com.jy.vplayer2-1.apk, 1.3.2  
com.kakao.talk-1.apk, 4.7.1  
com.kakapo.vegasslots-1.apk, 1.01  
com.kb.Carrom3D-1.apk, 2.5.6  
com.ketchapp.twocars-1.apk, 1.0.2  
com.king.candycrushsodasaga-1.apk, 1.33.24  
com.king.farmheroessaga-1.apk, 2.16.15  
com.king.petrescuesaga-1.apk, 1.33.2  
com.kiwi.home-1.apk, 3.0.1  
com.ksmobile.cb-1.apk, 5.1.24  
com.libra.chickchick2-1.apk, 1.0.6  
com.magicjack-1.apk,   Varies with device  
com.mapfactor.navigator-1.apk, 1.3.43  
com.mavenhut.solitaire-1.apk,   Varies with device  
com.microsoft.skydrive-1.apk,   Varies with device  
com.microsoft.xboxone.smartglass-1.apk, 2.4.1411.03000  
com.midasplayer.apps.diamonddiggersaga-1.apk,   Varies with device  
com.mobage.ww.a1431.Puzzles_Android-1.apk, 2.5.2.8.1  
com.mobage.ww.a1879.Cupcake_Carnival_Android-1.apk,   Varies with device  
com.mobage.ww.a1912.Godus_Android-1.apk, 0.0.16  
com.mobage.ww.a1933.Super_Battle_Tactics_Android-1.apk, 1.0.9  
com.move.realtor-1.apk,   Varies with device  
com.musicplay.video-1.apk, 2.0  
com.naturalmotion.csrracing-1.apk, 2.4.0  
com.outfit7.mytalkingangelafree-1.apk, 1.0.4  
com.outfit7.talkingangelafree-1.apk,   Varies with device  
com.outfit7.talkingsantafree-1.apk,   Varies with device  
com.outfit7.talkingtom2free-1.apk,   Varies with device  
com.papajohns.android-1.apk, 3.11.81  
com.paypal.android.p2pmobile-1.apk, 5.9  
com.pixlr.express-1.apk,   Varies with device  
com.playcomet.and.ttgj-1.apk, 2.4.2  
com.pof.android-1.apk,   Varies with device  
com.popularapp.periodcalendar-1.apk,   Varies with device  
com.popularapp.sevenmins-1.apk, 1.12  
com.prgames.texasholdem.livepoker.season-1.apk, 1.01  
com.qsds.ggg.dfgdag.qwerz-1.apk, 1.8  
com.rebelvox.voxer-1.apk,   Varies with device  
com.redphx.deviceid-1.apk, 1.1.1  
com.roidapp.photogrid-1.apk, 4.821  
com.rovio.angrybirds-1.apk, 5.0.2  
com.rubyseven.rsvideopoker-1.apk, 1.32  
com.scannerradio-1.apk,   Varies with device  
com.seamatch.levelviewer-1.apk, 1.1.0  
com.sgn.pandapop.gp-1.apk, 2.3.0.3  
com.shazam.android-1.apk,   Varies with device  
com.sidheinteractive.sif.DR-1.apk, 1.10.0  
