ApkName,LatestVersionOnGooglePlay
air.com.pixelfederation.TrainStationGame-1.apk, 1.0.12.14  
com.ballytechnologies.quickhitslots-1.apk, 2.1.5  
com.bhvr.homejam-1.apk, 2.2.0  
com.budgestudios.ThomasAndFriendsGoGoThomas-1.apk, 1.2  
com.chopperkhan.asylum-1.apk, 1.6  
com.daysofwonder.tt.android-1.apk, 2.0.2-3328-3001bfaf  
com.directv.dvrscheduler-1.apk, 4.3.008  
com.disney.cpcompanion_goo-1.apk, 1.6.12  
com.fgol.HungrySharkEvolution-1.apk,
com.giantssoftware.fs14-1.apk,   Varies with device  
com.mindblocks.blocks-1.apk, 10.4.15  
com.ninjakiwi.bloonstdbattles-1.apk, 3.2.1  
com.risingtidegames.blackdiamondslots.beta-1.apk, 1.2.14  
com.starfall.StarfallABCs-1.apk, 3.13  
net.HypercraftSarl.JC-1.apk, 1.0.1  
net.SandStormEarl.WC3-1.apk, 1.2.6  
