ApkName,LatestVersionOnGooglePlay
com.funplus.familyfarm-1.apk,
com.gamecircus.PrizeClaw-1.apk, 3.40  
com.gameloft.android.ANMP.GloftDOHM-1.apk, 1.5.0n  
com.gameloft.android.ANMP.GloftF3HM-1.apk, 1.6.0s  
com.gameloft.android.ANMP.GloftGGHM-1.apk, 2.0.1b  
com.gameloft.android.ANMP.GloftUOHM-1.apk,
com.gameresort.sz3-1.apk, 1.2  
com.gamestar.perfectpiano-1.apk,   Varies with device  
com.goldwinterdescribe.lendfine.rabbit-1.apk, 4.0  
com.hammerhead.furious7-1.apk, 5.7  
com.happymeal.mcplay-1.apk, 2.25.0  
com.hasbro.MLPegWorldENTERPRISE-1.apk, 1.1.1  
com.hibernum.brucelee.enterthegame-1.apk,
com.lockwoodpublishing.avakinlife-1.apk, 1.006.007  
com.namcobandaigames.pacmantournaments-1.apk, 2.0.3  
com.naturalmotion.csrracing-1.apk, 3.0.1  
com.nenoff.followthelinefree-1.apk, 6.1  
com.nimblebit.vegas-1.apk, 1.2.6  
com.nosixfive.verto-1.apk, 2.2  
com.nttsolmare.game.android.nin4ef-1.apk, 1.0.0  
com.nullapp.racer.motofighter3d-1.apk, 20150814  
com.oki.colors-1.apk, 1.2.0  
com.omgpop.dstfree-1.apk, 2.333.318  
com.onexsoftech.fakecallprank-1.apk, 1.1  
com.orangenose.eggcar-1.apk, 1.0  
com.outplayentertainment.aliencreeps-1.apk, 1.9.0  
com.ovilex.farmersim2015-1.apk, 1.4.0  
com.pennypop.monsters.live-1.apk, 3.1.5  
com.pikpok.mr.play-1.apk, 1.5.7  
com.ping9games.grabtheauto4-1.apk,
com.pixelberrystudios.hssandroid-1.apk, 2.9.1  
com.pixonic.wwr-1.apk, 0.9.1  
com.playappking.ametalsoldiers-1.apk, 1.0.8  
com.playstation.ratchetnexus-1.apk, 1.4  
com.poa_media.android.stickyballs-1.apk, 1.2.7  
com.puzzlesocial-1.apk, 4.7  
com.quizup.core-1.apk, 2.0.9.18  
com.rexetstudio.deathrunportable-1.apk, 2.0.0  
com.rexetstudio.murdergameportable-1.apk, 0.5.6  
com.risingtidegames.blackdiamondslots.beta-1.apk, 1.1.72  
com.rovio.ABstellapop-1.apk,
com.sanfran.woodie.aircheck-1.apk, 1.0  
com.scimob.mathacademy-1.apk, 1.0.5  
com.shatiie.piano-1.apk, 1.4  
com.shootbubble.bubbledexlue-1.apk, 3.4  
com.slotsfavorites.slots.android-1.apk, 1.118  
com.spryfox.alphabear-1.apk, 01.08.00  
com.stimulatingsoftware.pixelfighter-1.apk, 1.1  
com.tabtale.babycareanddressup-1.apk, 1.0.5  
com.tabtale.nosedoctorx-1.apk, 1.0.5  
com.teamlava.dragon46-1.apk, 1.9.8.7s46g  
com.the.best.android.crosswords.ever-1.apk, 1.9.6.2  
com.tmsoft.spillzone-1.apk, 1.2  
com.vg.blockycopcraftrunningthief-1.apk, 1.1  
com.vg.elitespyassassinmission-1.apk, 1.8  
com.williamsinteractive.goldfish-1.apk, 11.03  
com.wooga.jelly_splash-1.apk,   Varies with device  
com.wushgames.riddlesdots-1.apk, 1.02  
com.zindagigames.yummygummy-1.apk,
com.zynga.FarmVille2CountryEscape-1.apk, 3.6.323  
com.zynga.livepoker-1.apk,   Varies with device  
dk.tactile.discoducks-1.apk, 1.0.5  
jalfonso.brain.games-1.apk, 3.2  
jp.co.siliconstudio.ageofishtaria-1.apk, 1.0.15  
jp.co.translimit.braindots-1.apk, 1.4.2  
me.dreamsky.leagueofstickman-1.apk, 1.0.0  
mindware.mindgames-1.apk, 2.0.7  
mobi.artibus.coloring-1.apk, 1.1  
net.HypercraftSarl.FNaC-1.apk, 1.0.5  
net.SandStormEarl.CC3-1.apk, 1.0.4  
net.SandStormEarl.MC2-1.apk, 1.1.1  
net.SandStormEarl.MC2B-1.apk, 1.0.4  
net.froemling.bombsquad-1.apk, 1.4.45  
net.playq.charmking-1.apk, 2.10.0  
net.wargaming.wot.blitz-1.apk, 2.0.0.201  
no.dirtybit.funrun-1.apk,   Varies with device  
org.freeminer.multicraft-1.apk, ....31  
se.ace.whatif-1.apk, 2.4  
se.appfamily.balloonpopfree-1.apk, 7.5  
slots.novartapps.bootcampslots-1.apk, 1.0  
slots.novartapps.cinderellaslots-1.apk, 1.0  
slots.novartapps.cowgirlslots-1.apk, 1.01  
software.simplicial.nebulous-1.apk, 1.1.7  
