ApkName,LatestVersionOnGooglePlay
air.com.sgn.bookoflife.gp-1.apk, 2.71.106.504061534  
com.and.games505.TerrariaPaid-1.apk, 1.2.7899  
com.bamnetworks.mobile.android.gameday.atbat-1.apk, 4.1.1  
com.cleanmaster.boost-1.apk, 1.5.1  
com.google.android.apps.translate-1.apk,   Varies with device  
com.gsn.android.tripeaks-1.apk, 1.5.0.17432  
com.inisoft.mediaplayer.a-1.apk,
com.king.pyramidsolitairesaga-1.apk, 1.21.0  
com.pinger.textfree.call-1.apk,   Varies with device  
com.sgiggle.production-1.apk,   Varies with device  
com.yodo1.crossyroad-1.apk, 1.0.9  
