ApkName,LatestVersionOnGooglePlay
air.WR3DFree-1.apk, 1.520  
air.com.sgn.juicejam.gp-1.apk, 1.12.7  
com.alensw.PicFolder-1.apk, 4.6.5.1317  
com.aryuthere.visionplus-1.apk, 2.6.3  
com.ea.scrabblefree_na-1.apk, 5.0.3.723118  
com.emoji.coolkeyboard-1.apk,   Varies with device  
com.errorsevendev.games.laserBreakPaid-1.apk, 1.05  
com.google.android.apps.inbox-1.apk,
com.google.android.apps.plus-1.apk,   Varies with device  
com.google.android.talk-1.apk,   Varies with device  
com.google.android.videos-1.apk,   Varies with device  
com.iUnity.angryBots2-1.apk, 2.15  
com.kiloo.subwaysurf-1.apk, 1.47.1  
com.pastagames.ro1mobile-1.apk, 2.3.2  
com.pipcamera.activity-1.apk, 3.4.1  
com.qihoo.security-1.apk, 3.4.1  
com.sgiggle.production-1.apk,   Varies with device  
com.skype.raider-1.apk,   Varies with device  
com.smule.singandroid-1.apk, 3.2.0  
com.spacegame.solitaire1-1.apk, 1.2.3  
com.zynga.wwf2.free-1.apk,   Varies with device  
jp.pokemon.poketoru-1.apk, 1.2.0  
