ApkName,LatestVersionOnGooglePlay
air.com.bitrhymes.bingo-1.apk,   Varies with device  
air.com.buffalo_studios.newflashbingo-1.apk, 2.58.0  
air.com.goodgamestudios.empirefourkingdoms-1.apk, 1.5.28  
air.com.mobigrow.canyouescapetower-1.apk, 1.0.9  
air.com.playtika.slotomania-1.apk,   Varies with device  
cn.partygame.revengebird-1.apk, 2.0.0  
co.vine.android-1.apk,   Varies with device  
com.aceviral.angrygranrun-1.apk, 1.10.0.0  
com.bdddd.floppy3d-1.apk, 2.4  
com.digitalcodeworks.slendermanfree-1.apk, 7.07  
com.dominospizza-1.apk, 1.9.5  
com.doubleugames.DoubleUCasino-1.apk, 2.1.4  
com.ea.games.r3_na-1.apk, 2.2.0  
com.episodeinteractive.android.catalog-1.apk, 1.23.2+g  
com.estoty.game2048-1.apk, 5.9  
com.fastemulator.gbafree-1.apk, 1.5.25  
com.feelingtouch.sniperzombie-1.apk, 1.08  
com.igg.clashoflords2-1.apk, 1.0.113  
com.imangi.templerun2-1.apk, 1.9  
com.jb.gosms-1.apk, 5.42  
com.kabam.ff6android-1.apk, 3.6.1  
com.kitkatandroid.keyboard-1.apk, 1.9.2  
com.lookout-1.apk,   Varies with device  
com.mindstormstudios.warinc.google-1.apk, 1.05  
com.outfit7.gingersbirthdayfree-1.apk,   Varies with device  
com.ovilex.bussimulator3d-1.apk, 1.8.3  
com.perblue.greedforglory-1.apk,   Varies with device  
com.pocketgems.android.animalvoyage-1.apk, 1.18.2+g  
com.rdio.android.ui-1.apk,   Varies with device  
com.scopely.slotsvacation-1.apk, 1.41  
com.skgames.trafficracer-1.apk, 1.8  
com.smule.magicpiano-1.apk, 2.0.0  
com.supercell.clashofclans-1.apk, 6.56.2  
com.supercell.hayday-1.apk, 1.17.99  
com.textmeinc.textme-1.apk,   Varies with device  
