ApkName,LatestVersionOnGooglePlay
air.com.sgn.bookoflife.gp-1.apk, 2.91.117.506251154  
air.com.sgn.juicejam.gp-1.apk, 1.6.21  
air.com.slotgalaxy-1.apk,
br.com.tapps.myboo-1.apk, 1.15  
com.activision.callofduty.heroes-1.apk, 1.7.2  
com.bigfishgames.gummydropgoogle-1.apk, 1.13.0  
com.cbs.app-1.apk, 2.4.0  
com.degoo.android.maternitydoctor2-1.apk, 1.0.8  
com.dirtybit.funrun2-1.apk, 2.2  
com.disney.datg.videoplatforms.android.abc-1.apk, 3.1.7  
com.disney.nemo-1.apk, 1.8.0  
com.doubleugames.DoubleUCasino-1.apk, 3.10.1  
com.ea.game.pegglex_row-1.apk, 2.9.0  
com.ea.game.pvz2_na-1.apk, 3.7.1  
com.ea.games.nfs13_na-1.apk, 1.3.68  
com.emoji.coolkeyboard-1.apk, 2.8.1  
com.emoji.ikeyboard-1.apk, 3.6.7  
com.fighter.fun.kk-1.apk, 2.20.150410  
com.gamevilusa.mlbpi15.android.google.global.normal-1.apk, 3.0.8  
com.glu.baseball15-1.apk, 1.1.2  
com.glu.stardomkim-1.apk, 3.1.1  
com.google.android.apps.youtube.kids-1.apk, 1.21.5  
com.hcg.cok.gp-1.apk, 1.0.97  
com.herocraft.game.ww2-1.apk, 1.1.15  
com.hulu.plus-1.apk, 2.19.1.202266  
com.igg.bravetrials-1.apk, 1.6.2  
com.igg.clashoflords2-1.apk, 1.0.185  
com.king.candycrushsaga-1.apk, 1.56.0.3  
com.king.farmheroessaga-1.apk, 2.29.12  
com.king.petrescuesaga-1.apk, 1.46.4  
com.ksmobile.launcher-1.apk, 1.10.14  
com.lazyswipe-1.apk, 2.01  
com.midasplayer.apps.bubblewitch-1.apk, 3.1.26  
com.namcowireless.flightcontrol-1.apk, 5.1  
com.naturalmotion.csrracing-1.apk, 2.9.0  
com.netflix.mediaclient-1.apk,   Varies with device  
com.ninjakiwi.bloonstdbattles-1.apk, 2.4.6  
com.okshur.enchantedCave2-1.apk, 2.24  
com.path-1.apk,   Varies with device  
com.qihoo.security-1.apk, 3.2.6  
com.quvideo.xiaoying-1.apk, 4.2.0  
com.sgn.pandapop.gp-1.apk, 3.0  
com.teamlava.dragon-1.apk,   Varies with device  
com.tencent.west-1.apk,N/A
com.tocaboca.hairsalon2-1.apk, 1.0.6  
com.tp.android.surgerysim-1.apk, 1.0.7  
com.ultimateguitar.tabs-1.apk,   Varies with device  
com.z14.darkdemon-1.apk, 1.5.7  
com.zenstudios.TWDPinball-1.apk, 1.0.3  
emoji.keyboard.emoticonkeyboard-1.apk, 1.1.9.0  
net.SandStormEarl.MC2-1.apk, 1.0.7  
net.SandStormEarl.mc2cb-1.apk, 1.0.8  
org.benetech.android-1.apk, 4.1.0.20150622  
slide.watchFrenzy.premium-1.apk, 3.9.1  
