ApkName,LatestVersionOnGooglePlay
air.com.buffalo_studios.newflashbingo-1.apk, 2.53.0  
air.com.funtactix.hgapp-1.apk, 1.0.20  
air.com.playtika.slotomania-1.apk,   Varies with device  
air.com.slotgalaxy-1.apk, 1.3.2  
air.endlessescape-1.apk, 1.1.2  
com.D9.hero.zqgame.en.andriodgpnew-1.apk, 1.5.1  
com.HBO-1.apk, 2.4.03  
com.arcsoft.perfect365-1.apk,   Varies with device  
com.ea.games.r3_na-1.apk, 2.1.0  
com.fastemulator.gbafree-1.apk, 1.5.23  
com.fingersoft.failhard-1.apk, 1.0.11  
com.fluik.Explosions-1.apk, 1.0.71  
com.freshgames.duck-1.apk, 1.0  
com.funplus.familyfarm-1.apk, 2.2.0  
com.g6677.android.cdentist-1.apk, 1.0.9  
com.gamevil.fishing.global-1.apk, 2.1.5  
com.google.android.apps.docs-1.apk,   Varies with device  
com.google.android.apps.plus-1.apk,   Varies with device  
com.google.android.videos-1.apk,   Varies with device  
com.google.earth-1.apk,   Varies with device  
com.icenta.sudoku.ui-1.apk, 9.2.1.4  
com.iugome.lilknights-1.apk,   Varies with device  
com.iwin.dond-1.apk, 1.5  
com.king.farmheroessaga-1.apk, 2.3.9  
com.konylabs.capitalone-1.apk, 4.7.0.1  
com.leftover.CoinDozer-1.apk,   Varies with device  
com.lego.duplo.circus-1.apk, 1.0.0  
com.lego.starwars.theyodachronicles-1.apk, 1.3  
com.madfingergames.deadtrigger2-1.apk,   Varies with device  
com.melodis.midomiMusicIdentifier.freemium-1.apk,   Varies with device  
com.mxtech.videoplayer.ad-1.apk,   Varies with device  
com.opera.browser-1.apk,   Varies with device  
com.perblue.greedforglory-1.apk,   Varies with device  
com.rdio.android.ui-1.apk,   Varies with device  
com.rsm.catchcandies-1.apk, 1.3  
com.seriouscorp.clumsybird-1.apk, 1.6  
com.sidheinteractive.sif.DR-1.apk, 1.8.1  
com.skype.raider-1.apk,   Varies with device  
com.stac.empire.main-1.apk, 2.3.8  
com.tabtale.fairytalefiasko-1.apk, 1.0.0  
com.tanqbay.motorcross-1.apk, 1.2  
com.telenav.app.android.scout_us-1.apk,   Varies with device  
com.textmeinc.textme-1.apk,   Varies with device  
com.vectorunit.yellow-1.apk, 1.3.9  
com.viber.voip-1.apk, 4.3.0.705  
com.walmart.android-1.apk, 1.6.0  
com.waze-1.apk, 3.7.8.0  
com.xfinity.playnow-1.apk,   Varies with device  
com.zoon.dumbpatrol-1.apk, 3.8  
com.zynga.draw2.googleplay.free-1.apk,   Varies with device  
it.junglestudios.cookieclickers-1.apk, 1.16  
jp.gungho.padEN-1.apk, 6.4.2  
jp.naver.line.android-1.apk, 4.1.2  
jp.naver.linecamera.android-1.apk, 7.0.2  
net.flixster.android-1.apk,   Varies with device  
org.mozilla.firefox-1.apk,   Varies with device  
