ApkName,LatestVersionOnGooglePlay
com.android.aldiko-1.apk, 3.0.1  
com.bonfiremedia.dots-1.apk, 1.22  
com.candyrufusgames.survivalcraft-1.apk, 1.23.0.0  
com.dotemu.raidenlegacy-1.apk, 1.8.4  
com.melodis.midomiMusicIdentifier-1.apk,   Varies with device  
com.ninjakiwi.sas3zombieassault-1.apk, 2.52  
com.pixlr.express-1.apk, 2.0.1  
com.rubicon.dev.gbwg-1.apk, 1.4.8  
com.tinidream.bingosummer-1.apk, 1.55  
com.waze-1.apk, 3.7.3.1  
com.yourislandcraft.demo.lifeincproduction-1.apk, 1.3.6  
com.zenstudios.MarvelPinball-1.apk, 1.0.1  
radiotime.player-1.apk, 9.1  
wheel.slots.leetcom.com-1.apk, 1.24  
