ApkName,LatestVersionOnGooglePlay
com.com2us.sliceit-1.apk, 1.8.5  
com.disney.frozensaga_goo-1.apk, 2.6  
com.disney.wheresmywater2_goo-1.apk, 1.2.4  
com.ea.BejeweledBlitz_na-1.apk, 1.7.1.52  
com.ea.game.fifa15_row-1.apk, 1.3.2  
com.intsig.BizCardReader-1.apk,   Varies with device  
com.king.candycrushsodasaga-1.apk, 1.40.28  
com.midasplayer.apps.bubblewitch-1.apk, 3.1.21  
com.path-1.apk,   Varies with device  
com.playstudios.myvegas-1.apk, 1.16.0  
com.tinyco.familyguy-1.apk,
com.yodo1.crossyroad-1.apk, 1.0.8  
com.yx.boxinghero-1.apk, 1.0.7  
com.zindagigames.test-1.apk,
