ApkName,LatestVersionOnGooglePlay
com.aceviral.angrygranrun-1.apk, 1.13.0  
com.asobimo.avabel_gp_b3-1.apk, 3.5.9  
com.bamnetworks.mobile.android.gameday.atbat-1.apk,   Varies with device  
com.bezircle-1.apk, 1.2.2  
com.bulkypix.supahtroop-1.apk, 1.6  
com.cootek.smartinputv5-1.apk,   Varies with device  
com.frogmind.badland-1.apk,   Varies with device  
com.gamegarden.fd-1.apk, 1.5.2  
com.gamevil.kritikamobile.android.google.global.normal-1.apk, 2.6.7  
com.gamevil.monster.global-1.apk, 1.3.5  
com.google.android.apps.docs-1.apk,   Varies with device  
com.google.android.apps.plus-1.apk,   Varies with device  
com.google.android.talk-1.apk,   Varies with device  
com.google.android.videos-1.apk,   Varies with device  
com.google.android.youtube-1.apk,   Varies with device  
com.igg.android.im-1.apk, 1.1.17  
com.igg.bravetrials-1.apk, 1.2.1  
com.microsoft.xboxmusic-1.apk, 2.0.40929  
com.mobage.ww.a1575.Motor_World_Car_Factory_Android-1.apk, 1.555  
com.playrisedigital.ttr-1.apk, 1.0.19  
com.sega.cityrush-1.apk, 1.3.0  
com.smile.gifmaker-1.apk, 4.05  
com.spaceapegames.samuraisiege-1.apk,   Varies with device  
com.sparklingsociety.cityisland2-1.apk, 2.0.21  
com.tatem.dinhunterhd-1.apk, 1.5.3  
com.tencent.mobileqq-1.apk, 5.1.1  
com.theonegames.gunshipbattle-1.apk, 1.2.3  
com.vividgames.realboxing-1.apk,   Varies with device  
com.wegoi.revolt2multiplayer-1.apk, 1.2.1  
