ApkName,LatestVersionOnGooglePlay
air.com.idlegaming.slots-1.apk, 1.19.6  
at.ner.lepsWorld2-1.apk, 1.7  
at.nerbrothers.SuperJump-1.apk, 1.9.6  
com.ImaginationUnlimited.instaframe-1.apk, 1.1.8  
com.ansangha.drdriving-1.apk, 1.29  
com.avast.android.mobilesecurity-1.apk, 3.0.7500  
com.badoo.mobile-1.apk,   Varies with device  
com.bestcoolfungames.antsmasher-1.apk, 6.1  
com.bitstrips.bitstrips-1.apk, 1.4.5  
com.catdaddy.nba2kmobile-1.apk, 1.5.0.90552  
com.cleanmaster.security.heartbleed-1.apk, 1.1.1  
com.disney.frozensaga_goo-1.apk, 1.5.0  
com.dragonplay.liveholdempro-1.apk,   Varies with device  
com.ea.games.simsfreeplay_na-1.apk, 2.9.7  
com.emugamesdb.app-1.apk, 1.5  
com.etsy.android-1.apk, 2.3.1  
com.evernote-1.apk,   Varies with device  
com.fdgentertainment.paperama-1.apk, 1.1.0  
com.fgol.HungrySharkEvolution-1.apk, 2.3.1  
com.funzio.crimecity-1.apk, 5.0  
com.google.android.apps.walletnfcrel-1.apk,   Varies with device  
com.groupme.android-1.apk, 4.2.9  
com.healthagen.iTriage-1.apk, 5.26  
com.igg.bzbee.slotsdeluxe-1.apk, 1.5.9  
com.ijinshan.kbatterydoctor_en-1.apk, 4.9  
com.integer3d.toytruckrally-1.apk, 1.1.6  
com.iugome.day-1.apk,   Varies with device  
com.kakapo.bingo-1.apk, 1.06  
com.kii.safe-1.apk,   Varies with device  
com.kiloo.subwaysurf-1.apk, 1.23.0  
com.magmamobile.game.Burger-1.apk, 1.0.10  
com.magmamobile.game.Words-1.apk, 1.0.11  
com.mapquest.android.ace-1.apk,   Varies with device  
com.move.realtor-1.apk,   Varies with device  
com.pinger.textfree.call-1.apk, 2.2.1  
com.playtika.caesarscasino-1.apk,   Varies with device  
com.robtopx.geometryjumplite-1.apk, 1.61  
com.scoompa.collagemaker-1.apk,   Varies with device  
com.sega.sonic.transformed-1.apk,   Varies with device  
com.slacker.radio-1.apk,   Varies with device  
com.spaceapegames.samuraisiege-1.apk,   Varies with device  
com.symstudiogames.carparkinggame-1.apk, 1.00.008  
com.timuzsolutions.runrun3d-1.apk, 3.9  
com.tipytapy.plastic.surgery-1.apk, 1.0.0  
com.turner.amateursurgeon3-1.apk,   Varies with device  
com.velan.android.picstitchcollage-1.apk, 1.2.1  
com.whaleshark.retailmenot-1.apk, 3.7.1  
com.zeptolab.ctrexperiments.ads-1.apk,   Varies with device  
jp.gree.warofnationsbeta-1.apk, 1.7.6  
kr.core.technology.wifi.hotspot-1.apk, 1.3.2  
net.SandStormEarl.MC-1.apk, 1.4.5  
se.maginteractive.rumble.free-1.apk, 1.6.18  
uk.mavusmariiavus.robinosnscraftdemo-1.apk, 1.0.1  
